10000; 0.002
 10000; 0.001
 20000; 0.004
 30000; 0.005
 40000; 0.006
 50000; 0.008
 60000; 0.011
 70000; 0.012
 80000; 0.015
 90000; 0.015
 100000; 0.017
 10000; 0.001
 10000; 0.002
 20000; 0.003
 30000; 0.005
 40000; 0.006
 50000; 0.009
 60000; 0.009
 70000; 0.012
 80000; 0.015
 90000; 0.015
 100000; 0.018
 10000; 0.001
 20000; 0.002
 30000; 0.005
 40000; 0.006
 50000; 0.009
 60000; 0.011
 70000; 0.014
 10000; 0.000
 10000; 0.000
 20000; 0.016
 30000; 0.000
 40000; 0.000
 50000; 0.015
 60000; 0.007
 70000; 0.016
 80000; 0.016
 90000; 0.016
 100000; 0.016
 
