10000; 0.288
 10000; 0.285
 20000; 1.146
 30000; 2.568
 40000; 4.563
 50000; 7.124
 60000; 10.475
 70000; 13.969
 80000; 18.285
 90000; 23.140
 100000; 32.974
 10000; 0.263
 10000; 0.298
 20000; 1.178
 30000; 2.679
 40000; 4.761
 50000; 7.428
 60000; 10.631
 70000; 15.023
 80000; 18.856
 90000; 23.899
 100000; 29.591
 10000; 0.296
 20000; 1.180
 30000; 2.651
 40000; 4.727
 50000; 7.387
 60000; 10.628
 70000; 14.929
 10000; 0.338
 50000; 8.196
 10000; 0.332
 20000; 1.265
 30000; 2.878
 40000; 5.116
 50000; 7.981
 60000; 11.455
 70000; 14.975
 80000; 16.739
 90000; 21.216
 100000; 26.218
 
