10000; 0.003
 10000; 0.002
 20000; 0.005
 30000; 0.007
 40000; 0.010
 50000; 0.011
 60000; 0.015
 70000; 0.018
 80000; 0.020
 90000; 0.023
 100000; 0.028
 10000; 0.002
 10000; 0.002
 20000; 0.005
 30000; 0.007
 40000; 0.009
 50000; 0.013
 60000; 0.016
 70000; 0.018
 80000; 0.019
 90000; 0.025
 100000; 0.030
 10000; 0.002
 20000; 0.004
 30000; 0.008
 40000; 0.010
 50000; 0.013
 60000; 0.015
 70000; 0.018
 10000; 0.000
 10000; 0.000
 20000; 0.000
 30000; 0.000
 40000; 0.016
 50000; 0.016
 60000; 0.016
 70000; 0.015
 80000; 0.015
 90000; 0.015
 100000; 0.022
 
