10000; 0.004
 10000; 0.004
 20000; 0.010
 30000; 0.013
 40000; 0.019
 50000; 0.026
 60000; 0.029
 70000; 0.036
 80000; 0.044
 90000; 0.048
 100000; 0.055
 10000; 0.005
 10000; 0.005
 20000; 0.008
 30000; 0.013
 40000; 0.019
 50000; 0.025
 60000; 0.035
 70000; 0.039
 80000; 0.045
 90000; 0.051
 100000; 0.058
 10000; 0.003
 20000; 0.010
 30000; 0.014
 40000; 0.020
 50000; 0.026
 60000; 0.031
 70000; 0.039
 10000; 0.000
 10000; 0.000
 20000; 0.000
 30000; 0.023
 40000; 0.006
 50000; 0.022
 60000; 0.031
 70000; 0.038
 80000; 0.031
 90000; 0.032
 100000; 0.046
 
