10000; 0.004
 10000; 0.004
 20000; 0.007
 30000; 0.013
 40000; 0.018
 50000; 0.021
 60000; 0.026
 70000; 0.030
 80000; 0.034
 90000; 0.040
 100000; 0.042
 10000; 0.004
 10000; 0.003
 20000; 0.008
 30000; 0.013
 40000; 0.017
 50000; 0.021
 60000; 0.026
 70000; 0.030
 80000; 0.037
 90000; 0.039
 100000; 0.042
 10000; 0.004
 20000; 0.009
 30000; 0.013
 40000; 0.018
 50000; 0.021
 60000; 0.026
 70000; 0.031
 10000; 0.000
 10000; 0.000
 20000; 0.016
 30000; 0.016
 40000; 0.031
 50000; 0.016
 60000; 0.037
 70000; 0.031
 80000; 0.032
 90000; 0.038
 100000; 0.047
 
