10000; 0.002
 10000; 0.002
 20000; 0.003
 30000; 0.008
 40000; 0.010
 50000; 0.012
 60000; 0.015
 70000; 0.017
 80000; 0.020
 90000; 0.022
 100000; 0.026
 10000; 0.002
 10000; 0.002
 20000; 0.004
 30000; 0.007
 40000; 0.009
 50000; 0.013
 60000; 0.016
 70000; 0.016
 80000; 0.019
 90000; 0.023
 100000; 0.027
 10000; 0.003
 20000; 0.005
 30000; 0.008
 40000; 0.010
 50000; 0.012
 60000; 0.014
 70000; 0.017
 10000; 0.000
 10000; 0.000
 20000; 0.000
 30000; 0.000
 40000; 0.000
 50000; 0.015
 60000; 0.016
 70000; 0.016
 80000; 0.015
 90000; 0.016
 100000; 0.016
 
