10000; 0.290
 10000; 0.286
 20000; 1.145
 30000; 2.561
 40000; 4.545
 50000; 7.366
 60000; 10.247
 70000; 13.968
 80000; 18.269
 90000; 23.136
 100000; 29.182
 10000; 0.262
 10000; 0.299
 20000; 1.180
 30000; 2.663
 40000; 4.736
 50000; 7.374
 60000; 10.650
 70000; 14.590
 80000; 18.866
 90000; 23.888
 100000; 29.510
 10000; 0.297
 20000; 1.187
 30000; 2.643
 40000; 4.711
 50000; 7.389
 60000; 10.627
 70000; 14.570
 10000; 0.333
 50000; 9.095
 10000; 0.317
 20000; 1.282
 30000; 2.862
 40000; 5.073
 50000; 7.938
 60000; 11.468
 70000; 12.852
 80000; 16.763
 90000; 21.398
 100000; 26.145
 
